Video 1:
<0.0 second> 我先告诉你
<1.0 second> 最后还有34天
<4.0 second> 四六级为什么考得过
<6.0 second> 刘老师你不要搞传销
<8.0 second> 我闲的没事跟你传销什么呀
<10.0 second> 同学们最后还有34天
<12.0 second> 为什么四六级90%你还能考得过
<15.0 second> 即使你前期什么都没学
<16.0 second> 从今天开始重新做人
<18.0 second> 你考过的几率能达到80%以上
<21.0 second> 为为什么
<22.0 second> 来告诉你为什么俩原因听好了
<25.0 second> 第一个原因是四六级
<27.0 second> 成绩不是你的成绩孩子
<29.0 second> 他是在全国大学生当中
<30.0 second> 的一个排名排名排名
<33.0 second> 我听力只做对一道题刘老师
<35.0 second> 但是我是全国第一名
<38.0 second> 就是我加到总分
<39.0 second> 听力呀
<40.0 second> 选择填空啊
<41.0 second> 传统阅读啊
<42.0 second> 我是全国第一名
<44.0 second> 但是我听力只做对一道题
<45.0 second> 我阅读只答对两道题
<47.0 second> 但是我是第一名
<48.0 second> 你就是710
<50.0 second> 所以你的分数并不是你的真实成绩
<52.0 second> 是在全国大学生当中的一个排名
<55.0 second> 听懂了吗
<57.0 second> 那代表有什么
<58.0 second> 哎呀同学们
<59.0 second> 你周围的同学都不学了
<61.0 second> 你不信问你们班的同学说大燕
<63.0 second> 你四级准备怎么样
<65.0 second> 正常同学都已经放弃了
<67.0 second> 他心理上是这次就算了吧
<69.0 second> 同学们你还来得及为什么
<72.0 second> 当你的对手都在停止
<74.0 second> 坐那个地方仰望月光
<76.0 second> 跟你水平差不多
<77.0 second> 他们不学了
<78.0 second> 他们听我说
<79.0 second> 我只要今天讲座能让你多考5分
<82.0 second> 我只要让你多考5分
<84.0 second> 剩下还有30多天
<85.0 second> 我怎么会让你多考5分才
<87.0 second> 就算多考5分同学们
<88.0 second> 我跟你说能甩开至少
<90.0 second> 将近200万到300万人的距离
<92.0 second> 你想不跳跃
<93.0 second> 绝对要跳跃
<94.0 second> 同学们更换成710
<96.0 second> 都能顶至少50分到80分的水平同学们
<99.0 second> 所以你的对手都不动啊孩子
<101.0 second> 并且你的分数是一个排名
<102.0 second> 当他们都不动的时候
<103.0 second> 你稍微努力一点点
<105.0 second> 你稍微翻译的时候多写对一个单词
<108.0 second> 就现在能考到370、380的同学
<110.0 second> 你100%的能考过四六级考试就现在
<112.0 second> 赶紧讲吧刘老师
<114.0 second> 好开始讲了记笔记
<116.0 second> 记笔记记笔记记笔记
<117.0 second> 先讲听力
<119.0 second> 认真听今天没来听讲座的一定
<121.0 second> 直到考前
<123.0 second> 好听力作业完成了
<125.0 second> 听力作业布置完了
<127.0 second> 好第二个是
<128.0 second> 说一下阅读理解好不好
<130.0 second> 来记笔记
<132.0 second> 但是阅读不好说
<133.0 second> 因为没有真题不好说
<134.0 second> 但是我就稍微说一下
<135.0 second> 阅读的做题思路好不好
<136.0 second> 同学稍微说一下
<138.0 second> 开始记笔记
<139.0 second> 先讲传统阅读为什么
<140.0 second> 因为传统阅读最值钱
<141.0 second> 一道题2分
<142.0 second> 100分他20分
<144.0 second> 100分他20分要传统阅读赶紧写
<147.0 second> 传统阅读怎么做
<148.0 second> 同学们咱们今天没有咱们
<150.0 second> 今天没有这个幻灯片
<153.0 second> 所以展示的不是特别好
<154.0 second> 如果你想听咱们具体点
<156.0 second> 今天咱们没有盗版
<157.0 second> 咱们有一个那个四六级的保命班
<160.0 second> 如果你愿意买咱们保命班
<161.0 second> 你就买如果你不愿意买保命班
<163.0 second> 你就买盗版的吧
<165.0 second> 也可能会有盗版
<166.0 second> 不好不好意思不好意思
<168.0 second> 不能这么说哈
<169.0 second> 对还是买正版
<170.0 second> 他又不是很多钱的时候
<171.0 second> 买个正版也行
<172.0 second> 对我们会讲得很细
<174.0 second> 会通过真题来给你分析应该怎么来做
<176.0 second> 但是今天我就用嘴来告诉你
<178.0 second> 回家以后传统阅读怎么来做好不好
<180.0 second> 来记一下笔记
<181.0 second> 传统阅读
<182.0 second> 所以你喜欢先看文章
<184.0 second> 还是先定位
<186.0 second> 就你喜欢就是直接定位吗
<188.0 second> 第一题为什么说刘晓艳是个美女
<191.0 second> 你就找刘晓艳回头定位
<192.0 second> 你是喜欢直接定位
<194.0 second> 还是喜欢先读一下文章
<198.0 second> 星海捡狗粮是直播
<201.0 second> 是吧你们这老问直播录播来
<203.0 second> 赶紧快点说同学们
<205.0 second> 好说了
<206.0 second> 说的是先看完了再定位看题目
<208.0 second> 定位定位定位
<211.0 second> 同学们我跟你说
<213.0 second> 你特别喜欢定位
<215.0 second> 我今天告诉你定位这个
<216.0 second> 事有个缺点是什么东西就是
<218.0 second> 他就是做一道题看一道题
<220.0 second> 做一道题看一道题
<221.0 second> 同学们你想过吗
<223.0 second> 如果每一道题都靠定位做出来
<226.0 second> 一点都不需要了解文章中心
<228.0 second> 那为什么这样出题呢
<230.0 second> 读这一段做第一题
<233.0 second> 读这一段做第二题
<234.0 second> 读这一段做第三题
<235.0 second> 读这一段做第四题
<237.0 second> 那为什么它一定以文章的形式呈现呢
<242.0 second> 那说明上下文之间一定得有点关系呀
<245.0 second> 第一段和第二段之间一定得有点关系呀
<247.0 second> 那文章中心一定有用啊
<249.0 second> 如果文章中心没有用
<250.0 second> 为什么出示一篇文章呢
<253.0 second> 四六级很搞笑
<254.0 second> 从来不考这篇文章中心是什么
<258.0 second> 四六级很搞笑
<259.0 second> 从来不考
<261.0 second> 考研还考这篇文章的标题是什么
<264.0 second> 四六级从来不考中心
<265.0 second> 那你说他为什么要出一篇文章呢
<269.0 second> 说明我们知道中心一定有用
<271.0 second> 所以我今天建议你做阅读的第一步
<273.0 second> 今天晚上试一篇
<275.0 second> 如果你觉得很好
<276.0 second> 你还有你的定位方法
<277.0 second> 我今天改了朋友们
<279.0 second> 第一步
<280.0 second> 看着我的脸读首段
<282.0 second> 各段的首句以及尾段
<285.0 second> 把握文章中心
<288.0 second> 哎赶紧先记笔记同学们
<290.0 second> 传统阅读读首段
<293.0 second> 各段的首句以及尾段
<295.0 second> 把握文章的中心
<297.0 second> 首段各段首句以及尾段
<300.0 second> 当然如果尾段特别长
<302.0 second> 一看哇塞七八行
<303.0 second> 还神经病憋着劲读完呀
<305.0 second> 那就只读尾段的首尾句
<308.0 second> 聪明一点嘛
<309.0 second> 小口2分钟之内必须读完
<313.0 second> 2分钟之内必须读完
<314.0 second> 你今天到考前还有30天的时间
<317.0 second> 你可以来实验一下
<318.0 second> 对实验10篇
<320.0 second> 我发现我每次两完都读不完刘老师
<323.0 second> 其实很多时候读不完
<324.0 second> 也能知道文章中心
<326.0 second> 读完首段
<327.0 second> 第二段第三段的第一句话
<329.0 second> 其实基本上中心也能读懂
<333.0 second> 所以我做阅读的
<334.0 second> 第一步是抓住文章中心
<337.0 second> 告诉我这一刻你想说什么
<339.0 second> 我也不知道你叫什么名字
<341.0 second> 来你告诉我
<342.0 second> 我说第一步是读首段
<344.0 second> 各段首句以及尾段
<345.0 second> 或者是每段的中间句
<347.0 second> 把握文章中心
<348.0 second> 告诉你就说什么
<350.0 second> 有回放吗
<351.0 second> 应该有吧
<352.0 second> 有讲课时老师
<353.0 second> 对对对就就就就等这句话
<356.0 second> 我先告诉你读懂中心的好处
<358.0 second> 我再告诉你读不懂咋整好不好
<361.0 second> 对你应该先问我读懂中心有什么好处
<364.0 second> 读懂中心的好处是
<365.0 second> 我把屁股挪挪
<366.0 second> 我的屁股坐的疼
<368.0 second> 我的腿我的腿我的腿在椅子上来
<369.0 second> 调整一下坐姿啊
<372.0 second> 读懂中心的好处是记住
<375.0 second> 认真听哈
<376.0 second> 第一题第2题第3题第4题第5题
<380.0 second> 无论题干问什么
<386.0 second> 四个选项当中
<388.0 second> 和文章中心靠得最近的选项
<390.0 second> 绝对是正确答案
<392.0 second> 无需定位
<394.0 second> 好吧我刚才说的话重复一遍
<396.0 second> 我听到顺风耳
<398.0 second> 我是只要能知道文章中心
<402.0 second> 无论题干问什么
<404.0 second> 四个选项当中
<405.0 second> 和文章中心靠得最近的选项
<408.0 second> 一定是正确答案
<410.0 second> 无需定位
<411.0 second> 正确率是2000%
<414.0 second> 这叫所有细节全部服从中心
<418.0 second> 出道题直接出了啊
<421.0 second> 我拿考研的题吧
<422.0 second> 因为考研我更熟一些一样的来吧听
<424.0 second> 这篇文章中心讲的是
<426.0 second> 美国人的身高不长了
<428.0 second> 好中心告诉你了
<430.0 second> 这篇文章中心讲的是
<432.0 second> 美国人的身高不长了
<434.0 second> 很好出第五题
<435.0 second> 你看这题谁听不好
<436.0 second> 他说认真听啊
<438.0 second> 从最后一段我们可以
<440.0 second> 推出哪个选项是正确的
<445.0 second> 推出哪个选项是正确的AA
<448.0 second> 美国的军事制服的
<450.0 second> 设计将会继续保持不变认真听
<455.0 second> a美国军事制服的设计
<458.0 second> 将会继续保持不变bb
<462.0 second> 服装行业将会重新考虑他们的尺寸b
<469.0 second> 服装行业将会重新考虑他们的尺寸c
<475.0 second> 基因测试将会应用于挑选运动员
<486.0 second> dd
<488.0 second> 现存关于人类身高的
<490.0 second> 数据以后依然适用
<496.0 second> 数据以后依然适用选谁不定位
<500.0 second> 这篇文章中心讲的是
<501.0 second> 美国人的身高不长了选谁
<505.0 second> 选b是什么
<506.0 second> 我都忘了b是什么
<507.0 second> 哦bb是服装行业将会重新
<509.0 second> 考虑他们的衣服的尺寸
<512.0 second> 同学们这篇文章中心讲的是
<514.0 second> 人类的身高不长了不长了
<516.0 second> 为什么要重新考虑尺寸
<519.0 second> 哎对对对对对对对
<520.0 second> 说反了说反了选d
<522.0 second> 现存关于人类身高的
<524.0 second> 数据以后依然适用
<526.0 second> 这个同学已经疯了dddddd
<528.0 second> 写了那么多d
<529.0 second> 对肯定不是BB和中心说反了
<531.0 second> 答案就选d呀
<533.0 second> 刘老师我还是要定位我害怕
<534.0 second> 不用怕正确率百分2000亿
<537.0 second> 四六级托福雅思考研
<539.0 second> 只要我讲过的阅读理解
<540.0 second> 高考中考都适合
<542.0 second> 绝对不失手
<543.0 second> absolutely请你放心得很
<546.0 second> 听懂了刘老师
<548.0 second> 那如果按照你这么来做的话
<549.0 second> 看着我的脸
<551.0 second> 你看对吧第一题
<552.0 second> 你读完第一题
<554.0 second> 比如说举刘晓艳的例子是为了干嘛
<557.0 second> 你就要把ABCD四个选项都读完
<560.0 second> 因为和文章中心靠得
<561.0 second> 最近的不需要定位了
<563.0 second> 那如果ABCD和中心都没关系呢
<566.0 second> 你需要定位呀
<569.0 second> 别动啊刘老师
<570.0 second> 那传统阅读10道题一般
<571.0 second> 有几道不需要定位
<573.0 second> 传统阅读10道题
<574.0 second> 一般有至少5道题是不需要定位的
<576.0 second> 你只需要定位5道题
<578.0 second> 哎这这这还可以
<580.0 second> 这还可以刘老师
<581.0 second> 好来看着我的脸
<583.0 second> 刘老师那中心读不懂怎么办
<586.0 second> 主中心读不懂怎么办
<588.0 second> 中心读懂同学们
<589.0 second> 你至少一半的题不需要定位
<591.0 second> 哇塞好臭呀
<592.0 second> 试试今天晚上就试两篇试试
<596.0 second> 好文章中心没读懂
<597.0 second> 来看着我的脸
<599.0 second> 刘老师读了半天文章中心没读懂
<602.0 second> 但是有个词出现的频率很高
<604.0 second> AIAIAIAIa
<607.0 second> 最起码你能知道这篇
<609.0 second> 文章中心词是AI也很好
<611.0 second> 知道AI有什么好
<615.0 second> 看着我的脸
<617.0 second> 记住哈abcd四个选项当中
<620.0 second> 带中心词的选项通常也是正确答案
<624.0 second> abcd四个选项当中
<626.0 second> 带中心词的选项通常也是正确答案
<630.0 second> 这个不能说一定
<631.0 second> 只能说通常
<633.0 second> 当你蒙谁都是蒙的时候
<635.0 second> 你选带中心词的选项啊
<636.0 second> 正确率达到90%以上哦
<638.0 second> 三看着我脸
<641.0 second> 刘老师中心词也没读懂
<643.0 second> 中心词也没找到
<645.0 second> 中心词可能被替换了吧
<647.0 second> 一直啊换的都找不到谁是谁
<649.0 second> 中心词找不到
<651.0 second> 中心词找不到怎么办
<652.0 second> 看着我的脸
<654.0 second> 中心词找不到怎么办
<656.0 second> 中心没读懂
<657.0 second> 中心词也没找到
<658.0 second> 你浪费我2分钟
<659.0 second> 本来传统阅读的时间都不够
<661.0 second> 你又浪费我2分钟
<663.0 second> 看着如果我中心也没读懂
<665.0 second> 中心词也没找到
<666.0 second> 告诉我我浪费你2分钟的时间了吗
<670.0 second> 如果你觉得我浪费了请说一
<672.0 second> 如果你觉得我没有浪费请说2
<674.0 second> 中心也没读懂
<676.0 second> 中心思想也没读懂
<677.0 second> 浪费我两分钟
<678.0 second> 浪费你的时间没有大声说
<683.0 second> 浪费没有
<684.0 second> 没有就说二
